temperature_target_K,tint_coordinate,old_x,old_y,old_u1960,old_v1960,old_true_cct_K,old_true_duv,old_cct_shift_K,new_x,new_y,new_u1960,new_v1960,new_recovered_cct_K,new_recovered_duv,new_cct_error_K
5500,0.135,0.10302895305119533,0.7978497208167764,0.03332076238348619,0.38705082665243346,8503.02266209356,0.18255933240760236,3003.022662093559,0.33342928490843204,0.460953754501776,0.16958515775907854,0.35166788903211177,5500.001952220467,0.04999999999997758,0.0019522204665918252
5500,0.4,0.2185481237129029,0.5711927286926806,0.09282918101549945,0.36392456022320535,7778.773690383566,0.11942702380967068,2278.7736903835657,0.3330854182751776,0.4188968061694325,0.18101015292358555,0.3414645498588966,5500.001952220336,0.03468208092483354,0.0019522203356245882
5500,1.0,0.33250163260706234,0.3476076785231833,0.20441861029515293,0.32055847973357054,5500.038692216132,0.003297058313318626,0.0386922161324037,0.33244907685266795,0.34106843976195567,0.2068780665036015,0.31836264984406987,5500.0,0.0,0.0
5500,1.6,0.3823408653331935,0.24981948878142432,0.2922451749852136,0.28642716552160924,2378.454888754978,-0.0703374594714646,-3121.545111245022,0.3321142430181369,0.30011625680218335,0.22375268584501462,0.3032924058675804,5499.998154167766,-0.02262443438912478,-0.0018458322338119615
5500,2.326,0.41467498677235676,0.18637759713351865,0.37636300274621926,0.2537371471852386,1901.0000000000027,-0.10973865369068446,-3598.9999999999973,0.3317716730486153,0.25821789820883045,0.2441709752481244,0.2850574106560279,5499.993755018492,-0.04999999999995584,-0.006244981507734337
6504,0.135,0.10058995156293978,0.7841994120922536,0.03295542512594808,0.3853808149939547,8627.567444270655,0.18207897347228436,2123.567444270655,0.299497610996713,0.4240522782829422,0.1599531759648603,0.33971143439556073,6503.99879331263,0.04999999999999576,-0.0012066873696312541
6504,0.4,0.20935832292548542,0.5508532565260225,0.09110931272325627,0.35958347090396997,8158.404006174977,0.11871869955999395,1654.4040061749774,0.3043340250676461,0.3893130885359983,0.1723517993545357,0.33071628109871976,6503.999033330658,0.03468208092485227,-0.0009666693422332173
6504,1.0,0.3127140568826476,0.32911909913718723,0.19779506874235347,0.31225715668431314,6504.0116212726225,0.0032480351898396243,0.011621272622505785,0.3134812610503849,0.3236099535678357,0.20042415419908385,0.31034989627568343,6503.999999999987,3.479986213803232e-17,-1.2732925824820995e-11
6504,1.6,0.35674317959159285,0.2346612490436066,0.27966429885467037,0.2759395726525391,2908.018094346335,-0.07729567719862923,-3595.981905653665,0.31840028968323775,0.28827735661871756,0.21873681403357426,0.2970641324205354,6504.001210386623,-0.02262443438913751,0.0012103866229153937
6504,2.326,0.38493728136198946,0.1741750509388642,0.35640475941472005,0.24189713544868247,1901.0000000000027,-0.12028975812497854,-4602.999999999997,0.3235107962317117,0.2515694043866245,0.24089513243330749,0.28098835815580636,6504.003733870448,-0.04999999999999234,0.0037338704478315776
7500,0.135,0.09908622652655184,0.7730739738001549,0.032813498660699346,0.38401798150697536,8726.767653394943,0.18155612656207024,1226.7676533949434,0.2772149714967359,0.3972487179217787,0.1537402399570343,0.33046436608116747,7499.992997427408,0.049999999999921836,-0.00700257259177306
7500,0.4,0.20311276801413167,0.5348337005895878,0.09015435062069538,0.3560897631262867,8477.375440904862,0.11784031418941354,977.3754409048615,0.2851336223813785,0.3674992243501369,0.16675155045231893,0.32238077504821855,7499.994436986503,0.034682080924796466,-0.005563013496612257
7500,1.0,0.29909119999999995,0.31502510624767993,0.19352018688016373,0.30574479004896066,7500.665845027709,0.003165166950454474,0.6658450277091106,0.30035443631747366,0.31031631365695206,0.19621112138503877,0.3040783047849379,7500.000000000024,8.216490077924998e-17,2.3646862246096134e-11
7500,1.6,0.33915735576268297,0.22326610168115404,0.27127822055756545,0.26787225639859796,3946.9530053188378,-0.08097098243627807,-3553.0469946811622,0.30867454768560526,0.27905857755172564,0.21542871479137568,0.2921389105332503,7500.006139531392,-0.022624434389090443,0.006139531392364006
7500,2.326,0.36456250179903293,0.16508355666809127,0.342966124186405,0.2329562173206161,1901.0000000000027,-0.12836085869973066,-5598.999999999997,0.3174207541356206,0.24620004945755186,0.23868200281304328,0.27769224348870836,7500.019569761934,-0.04999999999986334,0.019569761933780683
10000,0.135,0.09711724370811606,0.7533633696669036,0.032792912764768756,0.38157455337039836,8903.132083654195,0.1804255167827739,-1096.8679163458055,0.2459859586448286,0.35560052909923195,0.14522653709905955,0.3149120810564638,9999.96641384362,0.04999999999947802,-0.03358615637989715
10000,0.4,0.19388674471644637,0.5076098583806767,0.08910702428665138,0.3499331842799815,9087.641452779457,0.11585918289462903,-912.3585472205432,0.25765456127031305,0.3329676362080085,0.15903860092640276,0.308288974714114,9999.974179276784,0.03468208092447467,-0.025820723216384067
10000,1.0,0.2787996,0.29196720111952,0.1875541619728197,0.29461841263144545,9999.248933522807,0.003058964693417444,-0.7510664771925804,0.2806568582657644,0.2883514520033004,0.19031119827133075,0.2932932622408693,9999.999999999975,-2.4001710414284398e-17,-2.546585164964199e-11
10000,1.6,0.3130777644861686,0.20491519408067413,0.25912599597936653,0.254404143861544,16187.637717309617,-0.07856679951824051,6187.637717309617,0.2935606737284478,0.2633226904087307,0.21071149744430417,0.2835109912835868,10000.02673342348,-0.02262443438882799,0.02673342347952712
10000,2.326,0.33447010898188956,0.1505877074274623,0.32330694487190825,0.21834261261119356,1901.0000000001696,-0.14169893526807312,-8098.999999999831,0.30738606910550226,0.23650639519405864,0.235395859443602,0.2716744434252749,10000.082983291088,-0.049999999999153895,0.08298329108765756
